Term,Label,Definition,ParentTerm,ParentType,Value,Role,CIA,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,,,
ConfirmationBias,Confirmation Bias,"Bias that occurs when hypotheses, regardless of their veracity, are more likely to be confirmed by the intentional or unintentional interpretation of information",risk:CognitiveBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
InGroupBias,In-Group Bias,Bias that occurs when showing partiality to one's own group or own characteristics,risk:CognitiveBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
OutGroupHomogeneityBias,Out-Group Homogeneity Bias,"Bias that occurs when seeing out-group members as more alike than in-group members when comparing attitudes, values, personality traits, and other characteristics",risk:CognitiveBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
SocietalBias,Societal Bias,Bias that occurs when similiar cognitive bias (conscious or unconscious) is being held by many individuals in society,risk:CognitiveBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
RuleBasedSystemDesign,Rule-Based System Design,Bias that occurs due to developer experience and expert advice having a significant influence on rule-based system design,risk:CognitiveBias,risk:RiskConcept,,"S,R,C",,,,Rule based system design also potentially introduces various forms of human cognitive bias,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
RequirementsBias,Requirements Bias,Bias that occurs in or during requirements creation,risk:CognitiveBias,risk:RiskConcept,,"S,R,C",,,,Requirements bias also represents occasions for the human cognitive biases to manifest,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataBias,Data Bias,Bias that occurs when data properties that if unaddressed lead to systems that perform better or worse for different groups,"risk:Bias,risk:DataRisk",risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
StatisticalBias,Statistical Bias,"Bias that occurs as the type of consistent numerical offset in an estimate relative to the true underlying value, inherent to most estimates",risk:DataBias,risk:RiskConcept,,"S,R,C",,,,,ISO 20501:2019,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
SelectionBias,Selection Bias,Bias that occurs when a dataset's samples are chosen in a way that is not reflective of their real-world distribution,risk:StatisticalBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
SamplingBias,Sampling Bias,Bias that occurs when data records are not collected randomly from the intended population,risk:SelectionBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
CoverageBias,Coverage Bias,Bias that occurs when a population represented in a dataset does not match the actual or real population that are being used,risk:SelectionBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
NonResponseBias,Non-Response Bias,Bias that occurs when people from certain groups opt-out of surveys at different rates than users from other groups. This is also called as Participation bias,risk:SelectionBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
ConfoundingVariablesBias,Confounding Variables Bias,Bias that occurs as a confounding variable that influences both the dependent variable and independent variable causing a spurious association,risk:StatisticalBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
NonNormalityBias,Non-Normality Bias,"Bias that occurs when the dataset is subject to a different (i.e. non-normal) distribution (e.g., Chi-Square, Beta, Lorentz, Cauchy, Weibull or Pareto) where the results can be biased and misleading",risk:StatisticalBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataProcessingBias,Data Processing Bias,"Bias that occurs due to pre-processing (or post-processing) of data, even though the original data would not have led to any bias",risk:DataBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
SimpsonsParadoxBias,Simpson'S Paradox Bias,Bias that occurs when a trend that is indicated in individual groups of data reverses when the groups of data are combined,risk:DataBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataAggregationBias,Data Aggregation Bias,Bias that occurs when aggregating data covering different groups of objects has different statistical distributions that introduce bias into the data,risk:DataBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
InformativenessBias,Informativeness Bias,Bias that occurs when the mapping between inputs present in the data and outputs are more difficult to identify for some group,risk:DataBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discrimination,Discrimination,"Discrimination is the treatment of a person or particular group of people differently, in a way that is worse than the way people are usually treate",risk:SocietalRiskConcept,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,Georg P. Krog,,,,,,,,,,,,,,,,,,
DirectDiscrimination,Direct Discrimination,"Occurs when a person is treated less favorably than another in a comparable situation based on a protected characteristic (e.g., race, sex, disability)",risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
IndirectDiscrimination,Indirect Discrimination,"Occurs when an apparently neutral provision, criterion, or practice puts individuals of a certain group at a disadvantage compared to others, unless it can be objectively justified",risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
AgeDiscrimination,Age Discrimination,"Discrimination based on a person's age, often impacting older or younger individuals",risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
CasteDiscrimination,Caste Discrimination,"Discrimination based on a person's caste, a form of social stratification found in some cultures",risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
DisabilityDiscrimination,Disability Discrimination,Discrimination against individuals based on physical or mental disabilities,risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
ExcellenceDiscrimination,Excellence Discrimination,"Favoritism towards individuals deemed more competent or superior, often at the expense of others",risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
LanguageDiscrimination,Language Discrimination,"Discrimination based on a person's language, often linked to national origin or ethnicity",risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
NationalityDiscrimination,Nationality Discrimination,Discrimination based on a person's nationality or citizenship,risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
Racism,Racism,Prejudice or discrimination against people based on their race,risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
RacialDiscrimination,Racial Discrimination,Discrimination against individuals because of their racial background or skin color,risk:Racism,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
EthnicDiscrimination,Ethnic Discrimination,Discrimination against individuals based on their ethnicity or cultural heritage,risk:Racism,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
GeographicDiscrimination,Geographic Discrimination,Discrimination based on a person's geographical origin or residence,risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
ReligiousDiscrimination,Religious Discrimination,Discrimination based on a person's relligion or religious beliefs or practices,risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
BelievesDiscrimination,Believes Discrimination,Discrimination based on a person's beliefs or practices,risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
Sexism,Sexism,"Discrimination based on a person's sex or gender, typically involving unequal treatment or stereotyping",risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
SexDiscrimination,Sex Discrimination,Discrimination based on a person's biological sex,risk:Sexism,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
GenderDiscrimination,Gender Discrimination,Discrimination based on a person's gender identity or gender expression,risk:Sexism,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
Homophobia,Homophobia,Hostility or prejudice against individuals who are or are perceived to be homosexual,risk:SexualOrientationDiscrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
Misogyny,Misogyny,"Dislike, contempt, or prejudice against women",risk:Sexism,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
Misandry,Misandry,"Dislike, contempt, or prejudice against men",risk:Sexism,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
Transphobia,Transphobia,Hostility or prejudice against transgender people or those perceived as not conforming to traditional gender norms,risk:Sexism,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
SexualOrientationDiscrimination,SexualOrientation Discrimination,"Discrimination based on a person's sexual orientation, typically against those who are not heterosexual",risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
ReverseDiscrimination,Reverse Discrimination,"Discrimination against members of a majority or historically dominant group, often in the context of efforts to promote equality",risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
WorkplaceDiscrimination,Workplace Discrimination,Discrimination occuring at workplace or in the context of work environments,risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ServiceRelatedConsequence,Service Related Consequence,A consequence related to the provision of a service,risk:OrganisationalRiskConcept,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
CustomerSupportLimited,Customer Support Limited,Concept representing customer support to be limited,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
DelayedApplicationProcessing,Delayed Application Processing,Concept representing delayed processing of applications,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
IdentityVerificationFailure,Identity Verification Failure,Concept representing failure to verify identity,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
InabilityToEnterIntoContract,Inability to Enter Into Contract,Concept representing inability to enter into contract,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
InabilityToEstablishLegalClaims,Inability to Establish Legal Claims,Concept representing inability to establish legal claims,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
InabilityToFulfillLegalObligations,Inability to Fulfill Legal Obligations,Concept representing inability to fulfill legal obligations,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
InabilityToProcessPayments,Inability to Process Payments,Concept representing inability to process payments,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
InabilityToProtectVitalInterests,Inability to Protect Vital Interests,Concept representing inability to protect vital interests,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
InabilityToProvideHealthCare,Inability to Provide Health Care,Concept representing inability to provide health care,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
LegalSupportLimited,Legal Support Limited,Concept representing limitation of legal support,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
LoyaltyProgramExclusion,Loyalty Program Exclusion,Concept representing exclusion from loyalty program,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
PersonalisationDisabled,Personalisation Disabled,Concept representing personalisation disabled,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
PersonalisationEnabled,Personalisation Enabled,Concept representing personalisation enabled,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
PublicServicesExclusion,Public Services Exclusion,Concept representing exclusion from public services,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
ServiceAlternativeOffered,Service Alternative Offered,Concept representing service alternative offered,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
ServiceCostIncreased,Service Cost Increased,Concept representing service cost increased,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
ServiceLimited,Service Limited,Concept representing service limited,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
ServiceNotProvided,Service Not Provided,Concept representing service not provided,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
ServicePartiallyProvided,Service Partially Provided,Concept representing service partially provided,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
ServiceProvided,Service Provided,Concept representing service provided,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
ServiceProvisionDelayed,Service Provision Delayed,Concept representing service provision delayed,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
ServiceDenied,Service Denied,Concept representing service denied,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
ServiceQualityReduced,Service Quality Reduced,Concept representing service quality reduced,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
ServiceSecurityReduced,Service Security Reduced,Concept representing service security reduced,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
ServiceTermination,Service Termination,Concept representing service termination,risk:ServiceRelatedConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataRisk,Data Risk,Risks and risk concepts related to data,risk:TechnicalRiskConcept,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataIncomplete,Data Incomplete,Concept representing data being incomplete,risk:DataRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataInaccurate,Data Inaccurate,Concept representing data being inaccurate,risk:DataRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataInconsistent,Data Inconsistent,Concept representing data being inconsistent,risk:DataRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataOutdated,Data Outdated,Concept representing data being outdated,risk:DataRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataNoise,Data Noise,Concept representing data being noise,risk:DataRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataSparse,Data Sparse,Concept representing data being sparse,risk:DataRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataUnstructured,Data Unstructured,Concept representing data being unstructured,risk:DataRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataMisclassified,Data Misclassified,Concept representing data being misclassified,risk:DataRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataUnverified,Data Unverified,Concept representing data being unverified,risk:DataRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataMisinterpretation,Data Misinterpretation,Concept representing data being misinterpretation,risk:DataRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataUnavailable,Data Unavailable,Concept representing data being unavailable,risk:DataRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataUnrepresentative,Data Unrepresentative,Concept representing data being unrepresentative,risk:DataRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataProcessingError,Data Processing Error,Concept representing operational error in the processing of data,risk:DataRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataCollectionError,Data Collection Error,Concept representing error related to data collection,risk:DataProcessingError,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataPreparationError,Data Preparation Error,Concept representing error related to data preparation,risk:DataProcessingError,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataStorageError,Data Storage Error,Concept representing error related to data storage,risk:DataProcessingError,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataErasureError,Data Erasure Error,Concept representing error related to data erasure,risk:DataProcessingError,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataTransferError,Data Transfer Error,Concept representing error related to data transfer,risk:DataProcessingError,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataSelectionError,Data SelectionError,Concept representing an error in data selection,risk:DataProcessingError,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,

QualityRisk,Quality Risk,"Concept representing risks and issues associated with quality of tasks, resources, processes",risk:OperationalSecurityRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
QualityUnknown,Quality Unknown,Concepts representing risks and issues where Quality is Unknown,risk:QualityRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
QualityInsufficient,Quality Insufficient,Concepts representing risks and issues where Quality is Insufficient,risk:QualityRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
QualityInconsistent,Quality Inconsistent,Concepts representing risks and issues where Quality is Inconsistent,risk:QualityRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
QualityDegraded,Quality Degraded,Concepts representing risks and issues where Quality is Degraded,risk:QualityRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
QualityUnverified,Quality Unverified,Concepts representing risks and issues where Quality is Unverified,risk:QualityRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
AccuracyRisk,Accuracy Risk,Concepts representing risks and issues where Accuracy is Risk,risk:QualityRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
AccuracyUnknown,Accuracy Unknown,Concepts representing risks and issues where Accuracy is Unknown,"risk:AccuracyRisk,risk:QualityUnknown",dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
AccuracyInsufficient,Accuracy Insufficient,Concepts representing risks and issues where Accuracy is Insufficient,"risk:AccuracyRisk,risk:QualityInsufficient",dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
AccuracyInconsistent,Accuracy Inconsistent,Concepts representing risks and issues where Accuracy is Inconsistent,"risk:AccuracyRisk,risk:QualityInconsistent",dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
AccuracyDegraded,Accuracy Degraded,Concepts representing risks and issues where Accuracy is Degraded,"risk:AccuracyRisk,risk:QualityDegraded",dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
AccuracyUnverified,Accuracy Unverified,Concepts representing risks and issues where Accuracy is Unverified,"risk:AccuracyRisk,risk:QualityUnverified",dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
SecurityQualityRisk,Security Quality Risk,Concepts representing risks and issues where Quality of Security is Risk,risk:QualityRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
SecurityQualityUnknown,Security Quality Unknown,Concepts representing risks and issues where Quality of Security is Unknown,"risk:SecurityQualityRisk,risk:QualityUnknown",dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
SecurityQualityInsufficient,Security Quality Insufficient,Concepts representing risks and issues where Quality of Security is Insufficient,"risk:SecurityQualityRisk,risk:QualityInsufficient",dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
SecurityQualityInconsistent,Security Quality Inconsistent,Concepts representing risks and issues where Quality of Security is Inconsistent,"risk:SecurityQualityRisk,risk:QualityInconsistent",dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
SecurityQualityDegraded,Security Quality Degraded,Concepts representing risks and issues where Quality of Security is Degraded,"risk:SecurityQualityRisk,risk:QualityDegraded",dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
SecurityQualityUnverified,Security Quality Unverified,Concepts representing risks and issues where Quality of Security is Unverified,"risk:SecurityQualityRisk,risk:QualityUnverified",dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
RobustnessRisk,Robustness Risk,Concepts representing risks and issues where Robustness is Risk,risk:QualityRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
RobustnessUnknown,Robustness Unknown,Concepts representing risks and issues where Robustness is Unknown,"risk:RobustnessRisk,risk:QualityUnknown",dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
RobustnessInsufficient,Robustness Insufficient,Concepts representing risks and issues where Robustness is Insufficient,"risk:RobustnessRisk,risk:QualityInsufficient",dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
RobustnessInconsistent,Robustness Inconsistent,Concepts representing risks and issues where Robustness is Inconsistent,"risk:RobustnessRisk,risk:QualityInconsistent",dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
